Source;Target;Weight;Type
J.A.R.V.I.S. (VOICE);GUARD;2;Undirected
J.A.R.V.I.S. (VOICE);JIM CRAMER;1;Undirected
J.A.R.V.I.S. (VOICE);ABU BAKAAR;1;Undirected
J.A.R.V.I.S. (VOICE);GENERAL GABRIEL;1;Undirected
J.A.R.V.I.S. (VOICE);WILLIAM GINTER RIVA;1;Undirected
J.A.R.V.I.S. (VOICE);MAJOR ALLEN;2;Undirected
J.A.R.V.I.S. (VOICE);JIMMY;1;Undirected
J.A.R.V.I.S. (VOICE);PRATT;1;Undirected
J.A.R.V.I.S. (VOICE);RAMIREZ;1;Undirected
J.A.R.V.I.S. (VOICE);AHMED;1;Undirected
J.A.R.V.I.S. (VOICE);OMAR;1;Undirected
J.A.R.V.I.S. (VOICE);HOWARD STARK;2;Undirected
J.A.R.V.I.S. (VOICE);VIPER 1;1;Undirected
J.A.R.V.I.S. (VOICE);VIPER 2;1;Undirected
J.A.R.V.I.S. (VOICE);AMIRA AHMED;1;Undirected
J.A.R.V.I.S. (VOICE);COLONEL CRAIG;1;Undirected
J.A.R.V.I.S. (VOICE);DEALER AT CRAPS TABLE;1;Undirected
J.A.R.V.I.S. (VOICE);WOMAN AT CRAPS TABLE;1;Undirected
J.A.R.V.I.S. (VOICE);ENGINEER;1;Undirected
J.A.R.V.I.S. (VOICE);AIR FORCE OFFICER;1;Undirected
J.A.R.V.I.S. (VOICE);WOMAN IN SUV;1;Undirected
J.A.R.V.I.S. (VOICE);KID IN SUV;1;Undirected
J.A.R.V.I.S. (VOICE);GULMIRA KID;1;Undirected
J.A.R.V.I.S. (VOICE);GULMIRA MOM;1;Undirected
J.A.R.V.I.S. (VOICE);REPORTER;1;Undirected
J.A.R.V.I.S. (VOICE);FLIGHT ATTENDANT;1;Undirected
J.A.R.V.I.S. (VOICE);AIR FORCE LIEUTENANT;1;Undirected
J.A.R.V.I.S. (VOICE);ZORIANNA KIT;1;Undirected
J.A.R.V.I.S. (VOICE);STAN'S GIRL;1;Undirected
J.A.R.V.I.S. (VOICE);CAOC ANALYST";1;Undirected
CHRISTINE EVERHART;AGENT PHIL COULSON;2;Undirected
CHRISTINE EVERHART;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
CHRISTINE EVERHART;HAPPY HOGAN;2;Undirected
CHRISTINE EVERHART;DIRECTOR NICK FURY;2;Undirected
CHRISTINE EVERHART;STAN LEE;1;Undirected
CHRISTINE EVERHART;GUARD;2;Undirected
CHRISTINE EVERHART;JIM CRAMER;1;Undirected
CHRISTINE EVERHART;ABU BAKAAR;1;Undirected
CHRISTINE EVERHART;GENERAL GABRIEL;1;Undirected
CHRISTINE EVERHART;WILLIAM GINTER RIVA;1;Undirected
CHRISTINE EVERHART;MAJOR ALLEN;2;Undirected
CHRISTINE EVERHART;JIMMY;1;Undirected
CHRISTINE EVERHART;PRATT;1;Undirected
CHRISTINE EVERHART;RAMIREZ;1;Undirected
CHRISTINE EVERHART;AHMED;1;Undirected
CHRISTINE EVERHART;OMAR;1;Undirected
CHRISTINE EVERHART;HOWARD STARK;2;Undirected
CHRISTINE EVERHART;VIPER 1;1;Undirected
CHRISTINE EVERHART;VIPER 2;1;Undirected
CHRISTINE EVERHART;AMIRA AHMED;1;Undirected
CHRISTINE EVERHART;COLONEL CRAIG;1;Undirected
CHRISTINE EVERHART;DEALER AT CRAPS TABLE;1;Undirected
CHRISTINE EVERHART;WOMAN AT CRAPS TABLE;1;Undirected
CHRISTINE EVERHART;ENGINEER;1;Undirected
CHRISTINE EVERHART;AIR FORCE OFFICER;1;Undirected
CHRISTINE EVERHART;WOMAN IN SUV;1;Undirected
CHRISTINE EVERHART;KID IN SUV;1;Undirected
CHRISTINE EVERHART;GULMIRA KID;1;Undirected
CHRISTINE EVERHART;GULMIRA MOM;1;Undirected
CHRISTINE EVERHART;REPORTER;1;Undirected
CHRISTINE EVERHART;FLIGHT ATTENDANT;1;Undirected
CHRISTINE EVERHART;AIR FORCE LIEUTENANT;1;Undirected
CHRISTINE EVERHART;ZORIANNA KIT;1;Undirected
CHRISTINE EVERHART;STAN'S GIRL;1;Undirected
CHRISTINE EVERHART;CAOC ANALYST";1;Undirected
AGENT PHIL COULSON;AWARD CEREMONY NARRATOR (VOICE);1;Undirected
AGENT PHIL COULSON;HAPPY HOGAN;2;Undirected
AGENT PHIL COULSON;DIRECTOR NICK FURY;3;Undirected
AGENT PHIL COULSON;STAN LEE;1;Undirected
AGENT PHIL COULSON;GUARD;2;Undirected
AGENT PHIL COULSON;JIM CRAMER;1;Undirected
AGENT PHIL COULSON;ABU BAKAAR;1;Undirected
AGENT PHIL COULSON;GENERAL GABRIEL;1;Undirected
AGENT PHIL COULSON;WILLIAM GINTER RIVA;1;Undirected
AGENT PHIL COULSON;MAJOR ALLEN;2;Undirected
AGENT PHIL COULSON;JIMMY;1;Undirected
AGENT PHIL COULSON;PRATT;1;Undirected
AGENT PHIL COULSON;RAMIREZ;1;Undirected
AGENT PHIL COULSON;AHMED;1;Undirected
AGENT PHIL COULSON;OMAR;1;Undirected
AGENT PHIL COULSON;HOWARD STARK;2;Undirected
AGENT PHIL COULSON;VIPER 1;1;Undirected
AGENT PHIL COULSON;VIPER 2;1;Undirected
AGENT PHIL COULSON;AMIRA AHMED;1;Undirected
AGENT PHIL COULSON;COLONEL CRAIG;1;Undirected
AGENT PHIL COULSON;DEALER AT CRAPS TABLE;1;Undirected
AGENT PHIL COULSON;WOMAN AT CRAPS TABLE;1;Undirected
AGENT PHIL COULSON;ENGINEER;1;Undirected
AGENT PHIL COULSON;AIR FORCE OFFICER;1;Undirected
AGENT PHIL COULSON;WOMAN IN SUV;1;Undirected
AGENT PHIL COULSON;KID IN SUV;1;Undirected
AGENT PHIL COULSON;GULMIRA KID;1;Undirected
AGENT PHIL COULSON;GULMIRA MOM;1;Undirected
AGENT PHIL COULSON;REPORTER;1;Undirected
AGENT PHIL COULSON;FLIGHT ATTENDANT;1;Undirected
AGENT PHIL COULSON;AIR FORCE LIEUTENANT;1;Undirected
AGENT PHIL COULSON;ZORIANNA KIT;1;Undirected
AGENT PHIL COULSON;STAN'S GIRL;1;Undirected
AGENT PHIL COULSON;CAOC ANALYST";1;Undirected
AWARD CEREMONY NARRATOR (VOICE);HAPPY HOGAN;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);DIRECTOR NICK FURY;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);STAN LEE;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);GUARD;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);JIM CRAMER;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);ABU BAKAAR;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);GENERAL GABRIEL;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);WILLIAM GINTER RIVA;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);MAJOR ALLEN;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);JIMMY;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);PRATT;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);RAMIREZ;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);AHMED;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);OMAR;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);HOWARD STARK;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);VIPER 1;1;Undirected
AWARD CEREMONY NARRATOR (VOICE);VIPER 2;1;Undirected
